frame_id,hand_id,hand_type,finger_id,finger_name,bone_name,start_x,start_y,start_z,end_x,end_y,end_z
43369,36,right,3,Ring,Metacarpal,-24.01,154.33,-76.03,-56.70,169.56,-122.09
43369,36,right,3,Ring,Proximal,-56.70,169.56,-122.09,-81.05,163.09,-141.34
43369,36,right,3,Ring,Intermediate,-81.05,163.09,-141.34,-95.09,158.10,-153.72
43369,36,right,3,Ring,Distal,-95.09,158.10,-153.72,-104.80,154.66,-165.30
43369,36,right,4,Pinky,Metacarpal,-24.47,163.61,-69.32,-60.43,179.20,-106.69
43369,36,right,4,Pinky,Proximal,-60.43,179.20,-106.69,-80.67,181.43,-114.50
43369,36,right,4,Pinky,Intermediate,-80.67,181.43,-114.50,-95.18,183.37,-121.55
43369,36,right,4,Pinky,Distal,-95.18,183.37,-121.55,-104.45,184.84,-127.48
43370,36,right,0,Thumb,Metacarpal,0.10,152.93,-87.04,0.10,152.93,-87.04
43370,36,right,0,Thumb,Proximal,0.10,152.93,-87.04,4.05,138.14,-128.61
43370,36,right,0,Thumb,Intermediate,4.05,138.14,-128.61,3.77,131.16,-151.82
43370,36,right,0,Thumb,Distal,3.77,131.16,-151.82,1.63,127.86,-167.74
43370,36,right,1,Index,Metacarpal,-12.16,145.16,-85.41,-37.42,152.71,-148.67
43370,36,right,1,Index,Proximal,-37.42,152.71,-148.67,-51.80,149.04,-174.99
43370,36,right,1,Index,Intermediate,-51.80,149.04,-174.99,-60.43,146.59,-193.27
43370,36,right,1,Index,Distal,-60.43,146.59,-193.27,-67.07,145.82,-208.22
43370,36,right,2,Middle,Metacarpal,-19.52,147.15,-83.43,-50.28,158.57,-139.54
43370,36,right,2,Middle,Proximal,-50.28,158.57,-139.54,-72.96,153.14,-164.42
43370,36,right,2,Middle,Intermediate,-72.96,153.14,-164.42,-88.95,149.55,-183.26
43370,36,right,2,Middle,Distal,-88.95,149.55,-183.26,-99.37,148.32,-197.64
43370,36,right,3,Ring,Metacarpal,-27.01,154.27,-79.34,-60.65,168.68,-124.80
43370,36,right,3,Ring,Proximal,-60.65,168.68,-124.80,-85.08,161.76,-143.57
43370,36,right,3,Ring,Intermediate,-85.08,161.76,-143.57,-99.17,156.55,-155.70
43370,36,right,3,Ring,Distal,-99.17,156.55,-155.70,-109.00,152.97,-167.15
43370,36,right,4,Pinky,Metacarpal,-27.51,163.58,-72.71,-64.26,178.37,-109.44
43370,36,right,4,Pinky,Proximal,-64.26,178.37,-109.44,-84.58,180.07,-116.99
43370,36,right,4,Pinky,Intermediate,-84.58,180.07,-116.99,-99.17,181.78,-123.89
43370,36,right,4,Pinky,Distal,-99.17,181.78,-123.89,-108.54,183.20,-129.68
43371,36,right,0,Thumb,Metacarpal,-2.78,153.29,-90.81,-2.78,153.29,-90.81
43371,36,right,0,Thumb,Proximal,-2.78,153.29,-90.81,0.88,138.16,-132.17
43371,36,right,0,Thumb,Intermediate,0.88,138.16,-132.17,0.34,131.06,-155.24
43371,36,right,0,Thumb,Distal,0.34,131.06,-155.24,-2.07,127.47,-171.10
43371,36,right,1,Index,Metacarpal,-14.98,145.47,-88.86,-41.28,152.19,-151.66
43371,36,right,1,Index,Proximal,-41.28,152.19,-151.66,-56.06,147.94,-177.62
43371,36,right,1,Index,Intermediate,-56.06,147.94,-177.62,-65.04,145.18,-195.75
43371,36,right,1,Index,Distal,-65.04,145.18,-195.75,-72.01,144.18,-210.61
43371,36,right,2,Middle,Metacarpal,-22.28,147.49,-86.80,-53.97,158.12,-142.41
43371,36,right,2,Middle,Proximal,-53.97,158.12,-142.41,-77.39,152.20,-166.66
43371,36,right,2,Middle,Intermediate,-77.39,152.20,-166.66,-93.93,148.14,-185.08
43371,36,right,2,Middle,Distal,-93.93,148.14,-185.08,-104.70,146.61,-199.21
43371,36,right,3,Ring,Metacarpal,-29.73,154.62,-82.70,-64.12,168.35,-127.66
43371,36,right,3,Ring,Proximal,-64.12,168.35,-127.66,-88.69,161.16,-145.91
43371,36,right,3,Ring,Intermediate,-88.69,161.16,-145.91,-102.88,155.83,-157.76
